2,       206280,     212569,     204510,     207380,     209554,     203297,     201100,     194646,     195903,     189963,     191887,     196959
5,       525477,     520498,     513000,     515614,     517128,     520795,     519135,     497564,     499535,     495278,     497539,     497848
7,       737309,     735080,     729433,     719873,     726428,     727615,     723894,     701310,     700970,     696585,     696516,     701062
10,     1051373,    1045979,    1039822,    1037740,    1038583,    1040979,    1038047,    1008039,    1006527,    1009723,    1005007,    1015052
30,     3142904,    3144365,    3133356,    3134217,    3135488,    3131766,    3129411,    3100880,    3099349,    3099283,    3096131,    3092753
50,     5244441,    5243552,    5228808,    5230071,    5227726,    5233099,    5224315,    5187427,    5192354,    5192865,    5190876,    5191132
100,   10493405,   10493172,   10473389,   10471847,   10473262,   10471145,   10467948,   10431682,   10432181,   10433570,   10431300,   10432734
