"time (min)", "A_225"
6.078431372549019, 5.191256830601105
7.725490196078432, 5.191256830601105
8.980392156862742, 5.191256830601105
9.215686274509803, 5.191256830601105
9.294117647058822, 5.464480874316948
9.372549019607842, 5.191256830601105
9.450980392156861, 5.737704918032804
9.49019607843137, 5.191256830601105
9.568627450980394, 5.191256830601105
9.607843137254903, 5.464480874316948
9.843137254901961, 5.464480874316948
10, 5.464480874316948
10.078431372549023, 6.284153005464489
10.156862745098042, 7.377049180327873
10.196078431372548, 8.743169398907114
10.274509803921568, 10.382513661202196
10.274509803921568, 15.573770491803273
10.352941176470587, 19.672131147540995
10.392156862745097, 23.224043715847003
10.431372549019606, 28.14207650273225
10.470588235294116, 31.967213114754117
10.509803921568626, 36.61202185792351
10.549019607843135, 39.890710382513674
10.588235294117645, 42.622950819672134
10.627450980392155, 44.53551912568307
10.705882352941178, 45.08196721311476
10.784313725490197, 44.53551912568307
10.823529411764707, 43.16939890710383
10.862745098039216, 41.53005464480875
10.901960784313726, 38.524590163934434
10.980392156862745, 36.06557377049181
11.019607843137255, 32.786885245901644
11.058823529411764, 28.96174863387978
11.098039215686274, 25.95628415300547
11.176470588235297, 20.491803278688522
11.254901960784316, 13.934426229508205
11.294117647058826, 12.295081967213122
11.372549019607845, 10.928961748633895
11.411764705882355, 9.016393442622956
11.52941176470588, 7.6502732240437155
11.6078431372549, 6.830601092896188
11.68627450980392, 6.830601092896188
11.764705882352942, 7.923497267759572
11.803921568627452, 9.836065573770497
11.843137254901961, 13.387978142076506
11.96078431372549, 25.95628415300547
11.96078431372549, 34.972677595628426
12.03921568627451, 44.53551912568307
12.07843137254902, 53.00546448087432
12.117647058823529, 58.196721311475414
12.156862745098039, 60.382513661202196
12.196078431372548, 57.65027322404372
12.235294117647058, 52.73224043715848
12.274509803921568, 44.80874316939891
12.31372549019608, 37.15846994535519
12.35294117647059, 29.781420765027335
12.3921568627451, 23.49726775956286
12.47058823529412, 18.57923497267761
12.549019607843139, 14.754098360655746
12.588235294117649, 12.295081967213122
12.666666666666664, 9.836065573770497
12.705882352941174, 7.6502732240437155
12.784313725490193, 6.557377049180346
12.941176470588236, 5.737704918032804
13.647058823529413, 5.737704918032804
14.07843137254902, 5.737704918032804
14.392156862745097, 5.464480874316948
14.588235294117649, 5.737704918032804
14.705882352941178, 6.284153005464489
14.784313725490197, 7.923497267759572
14.862745098039216, 11.47540983606558
14.901960784313726, 15.300546448087445
14.980392156862745, 22.13114754098362
15.019607843137255, 41.2568306010929
15.098039215686278, 67.21311475409837
15.137254901960784, 79.50819672131148
15.215686274509803, 96.72131147540985
15.294117647058822, 92.89617486338798
15.333333333333332, 85.24590163934427
15.411764705882351, 75.40983606557378
15.49019607843137, 50.81967213114754
15.52941176470588, 40.16393442622951
15.56862745098039, 31.420765027322417
15.6078431372549, 24.04371584699453
15.686274509803923, 18.306010928961754
15.764705882352942, 11.47540983606558
15.843137254901961, 7.923497267759572
15.96078431372549, 6.557377049180346
16.07843137254902, 5.737704918032804
16.27450980392157, 5.737704918032804
16.431372549019606, 7.377049180327873
16.470588235294116, 9.016393442622956
16.509803921568626, 12.021857923497265
16.549019607843135, 16.39344262295083
16.588235294117645, 24.316939890710387
16.627450980392155, 33.87978142076503
16.705882352941174, 46.44808743169399
16.745098039215687, 60.65573770491804
16.745098039215687, 75.13661202185793
16.784313725490197, 86.88524590163935
16.823529411764707, 96.44808743169399
16.901960784313726, 100
16.980392156862745, 95.08196721311477
17.019607843137255, 82.24043715846994
17.058823529411764, 70.76502732240438
17.098039215686274, 57.92349726775957
17.176470588235293, 46.44808743169399
17.254901960784316, 36.06557377049181
17.294117647058826, 21.311475409836078
17.333333333333336, 14.480874316939904
17.450980392156865, 10.928961748633895
17.529411764705884, 7.923497267759572
17.68627450980392, 6.284153005464489
17.92156862745098, 5.737704918032804
18.823529411764703, 5.737704918032804
19.490196078431374, 5.737704918032804
