"time (min)", "A_225"
3.337423312883436, 4.851752021563357
3.423312883435583, 5.1212938005390924
3.484662576687117, 5.660377358490578
3.5582822085889574, 5.1212938005390924
3.6441717791411046, 5.1212938005390924
3.7300613496932518, 4.582210242587607
3.815950920245399, 5.1212938005390924
3.901840490797546, 5.1212938005390924
4.024539877300613, 4.851752021563357
4.392638036809816, 4.851752021563357
4.45398773006135, 4.851752021563357
4.515337423312884, 5.390835579514828
4.527607361963191, 7.008086253369285
4.552147239263804, 10.51212938005392
4.576687116564417, 32.88409703504044
4.601226993865031, 49.32614555256066
4.613496932515337, 65.49865229110513
4.625766871165645, 68.73315363881403
4.650306748466258, 65.2291105121294
4.674846625766872, 49.595687331536396
4.699386503067485, 35.04043126684637
4.711656441717792, 14.285714285714292
4.736196319018405, 8.894878706199464
4.748466257668712, 7.277628032345035
4.773006134969325, 6.4690026954177995
4.797546012269939, 5.929919137466314
4.858895705521473, 5.390835579514828
5.042944785276074, 5.390835579514828
5.484662576687117, 5.390835579514828
5.5337423312883445, 5.390835579514828
5.558282208588958, 5.929919137466314
5.582822085889571, 7.277628032345035
5.6073619631901845, 10.78167115902967
5.631901840490798, 17.52021563342319
5.656441717791411, 30.727762803234512
5.680981595092025, 50.9433962264151
5.705521472392638, 76.28032345013479
5.7177914110429455, 96.76549865229111
5.742331288343559, 102.15633423180594
5.766871165644172, 88.94878706199462
5.791411042944786, 68.73315363881403
5.803680981595092, 47.978436657681954
5.8282208588957065, 30.997304582210248
5.85276073619632, 19.94609164420487
5.877300613496933, 13.207547169811335
5.901840490797547, 9.43396226415095
5.92638036809816, 7.277628032345035
5.950920245398773, 6.4690026954177995
5.987730061349693, 5.660377358490578
6.049079754601228, 5.390835579514828
6.478527607361964, 5.390835579514828
6.785276073619633, 5.390835579514828
7.361963190184049, 5.390835579514828
